date	duration	item	month	network	network_type
25/11/14 11:25	21	call	2014-12	Vodafone	mobile
25/11/14 16:09	1	sms	2014-12	Meteor	mobile
25/11/14 16:19	1	sms	2014-12	Meteor	mobile
25/11/14 17:10	114	call	2014-12	Meteor	mobile
25/11/14 18:06	1	sms	2014-12	Meteor	mobile
25/11/14 18:18	81	call	2014-12	Meteor	mobile
25/11/14 18:47	174	call	2014-12	voicemail	voicemail
25/11/14 19:10	71	call	2014-12	Tesco	mobile
25/11/14 19:20	40	call	2014-12	Tesco	mobile
25/11/14 19:21	29	call	2014-12	voicemail	voicemail
25/11/14 19:25	37	call	2014-12	Tesco	mobile
25/11/14 19:26	63	call	2014-12	voicemail	voicemail
25/11/14 20:39	1	sms	2014-12	Three	mobile
26/11/14 06:58	34.429	data	2014-12	data	data
26/11/14 07:03	14	call	2014-12	Meteor	mobile
26/11/14 07:15	1	sms	2014-12	Vodafone	mobile
26/11/14 07:57	1	sms	2014-12	Vodafone	mobile
26/11/14 07:59	4	call	2014-12	Three	mobile
26/11/14 08:00	1	sms	2014-12	Vodafone	mobile
26/11/14 08:13	10	call	2014-12	Three	mobile
26/11/14 08:16	3	call	2014-12	Three	mobile
26/11/14 08:26	3	call	2014-12	Three	mobile
26/11/14 08:27	3	call	2014-12	Three	mobile
26/11/14 09:01	1	sms	2014-12	Meteor	mobile
26/11/14 11:53	1	sms	2014-12	Meteor	mobile
26/11/14 11:54	1	sms	2014-12	Meteor	mobile
26/11/14 11:54	1	sms	2014-12	Meteor	mobile
26/11/14 11:56	1	sms	2014-12	Meteor	mobile
26/11/14 17:48	3	call	2014-12	Three	mobile
27/11/14 06:58	34.429	data	2014-12	data	data
27/11/14 16:53	1116	call	2014-12	Three	mobile
27/11/14 18:38	1	sms	2014-12	Three	mobile
28/11/14 06:58	34.429	data	2014-12	data	data
28/11/14 13:05	1	sms	2014-12	Three	mobile
28/11/14 13:12	1	sms	2014-12	Three	mobile
28/11/14 19:03	143	call	2014-12	Tesco	mobile
29/11/14 06:58	34.429	data	2014-12	data	data
29/11/14 14:44	151	call	2014-12	Three	mobile
30/11/14 06:58	34.429	data	2014-12	data	data
30/11/14 11:45	1	sms	2014-12	Three	mobile
30/11/14 11:48	1	sms	2014-12	Three	mobile
30/11/14 11:48	1	sms	2014-12	Three	mobile
30/11/14 12:06	1	sms	2014-12	Three	mobile
30/11/14 14:24	1	sms	2014-12	Three	mobile
30/11/14 14:44	1	sms	2014-12	Three	mobile
30/11/14 14:51	4	call	2014-12	Three	mobile
1/12/2014 6:58	34.429	data	2014-12	data	data
1/12/2014 12:51	1	sms	2014-12	Three	mobile
1/12/2014 12:59	1	sms	2014-12	Three	mobile
2/12/2014 6:58	34.429	data	2014-12	data	data
2/12/2014 11:40	526	call	2014-12	Meteor	mobile
3/12/2014 6:58	34.429	data	2014-12	data	data
3/12/2014 15:01	844	call	2014-12	landline	landline
3/12/2014 18:10	383	call	2014-12	Tesco	mobile
4/12/2014 6:58	34.429	data	2014-12	data	data
4/12/2014 13:52	6	call	2014-12	Vodafone	mobile
4/12/2014 15:34	37	call	2014-12	Three	mobile
4/12/2014 16:02	15	call	2014-12	Meteor	mobile
4/12/2014 23:41	71	call	2014-12	voicemail	voicemail
5/12/2014 6:58	34.429	data	2014-12	data	data
5/12/2014 16:49	465	call	2014-12	landline	landline
5/12/2014 18:17	153	call	2014-12	Tesco	mobile
5/12/2014 18:25	826	call	2014-12	Three	mobile
6/12/2014 6:58	34.429	data	2014-12	data	data
6/12/2014 11:33	442	call	2014-12	Meteor	mobile
6/12/2014 18:25	1	sms	2014-12	Vodafone	mobile
6/12/2014 18:26	1	sms	2014-12	Tesco	mobile
6/12/2014 18:26	1	sms	2014-12	Vodafone	mobile
6/12/2014 18:27	1	sms	2014-12	world	world
6/12/2014 18:28	1	sms	2014-12	world	world
6/12/2014 19:40	191	call	2014-12	Meteor	mobile
7/12/2014 6:58	34.429	data	2014-12	data	data
7/12/2014 13:03	99	call	2014-12	voicemail	voicemail
7/12/2014 13:45	428	call	2014-12	Three	mobile
7/12/2014 14:39	3	call	2014-12	Three	mobile
7/12/2014 20:23	727	call	2014-12	Three	mobile
7/12/2014 20:36	33	call	2014-12	Tesco	mobile
7/12/2014 20:37	120	call	2014-12	Three	mobile
7/12/2014 23:22	1	sms	2014-12	world	world
7/12/2014 23:22	1	sms	2014-12	world	world
8/12/2014 6:58	34.429	data	2014-12	data	data
8/12/2014 17:38	55	call	2014-12	Meteor	mobile
9/12/2014 6:58	34.429	data	2014-12	data	data
9/12/2014 18:32	28	call	2014-12	Tesco	mobile
10/12/2014 6:58	34.429	data	2014-12	data	data
11/12/2014 6:58	34.429	data	2014-12	data	data
12/12/2014 6:58	34.429	data	2014-12	data	data
12/12/2014 11:00	112	call	2014-12	Vodafone	mobile
12/12/2014 18:14	52	call	2014-12	Vodafone	mobile
13/12/14 06:58	34.429	data	2015-01	data	data
13/12/14 14:56	223	call	2014-12	Three	mobile
14/12/14 02:05	14	call	2014-12	landline	landline
14/12/14 02:07	8	call	2014-12	landline	landline
14/12/14 02:09	74	call	2014-12	landline	landline
14/12/14 06:58	34.429	data	2015-01	data	data
14/12/14 15:28	59	call	2014-12	voicemail	voicemail
14/12/14 19:54	25	call	2014-12	Three	mobile
15/12/14 06:58	34.429	data	2015-01	data	data
15/12/14 19:56	1	sms	2015-01	Three	mobile
15/12/14 19:58	1	sms	2015-01	Three	mobile
15/12/14 20:03	4	call	2015-01	Three	mobile
15/12/14 20:10	1	sms	2015-01	Vodafone	mobile
15/12/14 20:10	1	sms	2015-01	Three	mobile
15/12/14 23:12	1	sms	2015-01	Three	mobile
16/12/14 06:58	34.429	data	2015-01	data	data
17/12/14 06:58	34.429	data	2015-01	data	data
17/12/14 18:08	1859	call	2015-01	Vodafone	mobile
17/12/14 23:26	1	sms	2015-01	Vodafone	mobile
18/12/14 06:58	34.429	data	2015-01	data	data
18/12/14 12:36	61	call	2015-01	Three	mobile
18/12/14 15:46	268	call	2015-01	Meteor	mobile
18/12/14 15:57	192	call	2015-01	Meteor	mobile
18/12/14 16:10	14	call	2015-01	Meteor	mobile
18/12/14 17:54	17	call	2015-01	Three	mobile
18/12/14 19:05	46	call	2015-01	Tesco	mobile
18/12/14 21:58	4	call	2015-01	Meteor	mobile
18/12/14 21:59	4	call	2015-01	Meteor	mobile
19/12/14 06:58	34.429	data	2015-01	data	data
19/12/14 08:57	1	sms	2015-01	Vodafone	mobile
19/12/14 10:14	41	call	2015-01	Three	mobile
19/12/14 12:40	3	call	2015-01	Three	mobile
19/12/14 12:41	217	call	2015-01	Tesco	mobile
